PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35771198","Use of interventions involving virtual reality tasks during the climacteric: a systematic review","Zangirolami-Raimundo J, Noll PRES, Raimundo RD, Gonçalves GL, Urso EME, Bech GD, Frank YS, Abreu LC, Baracat EC, Sorpreso ICE, Soares Júnior JM.","Climacteric. 2022 Dec;25(6):543-551. doi: 10.1080/13697137.2022.2088275. Epub 2022 Jun 30.","Zangirolami-Raimundo J","Climacteric","2022","2022/06/30","","","10.1080/13697137.2022.2088275"
"35642288","Effects of 24-week basketball programme on body composition and functional fitness on adults with Down syndrome","Cai W, Baek SS.","J Intellect Disabil Res. 2022 Dec;66(12):939-951. doi: 10.1111/jir.12951. Epub 2022 May 31.","Cai W","J Intellect Disabil Res","2022","2022/06/01","","","10.1111/jir.12951"
"35171321","Expiratory Muscle Strength Training for Drooling in Adults with Parkinson's Disease","Cocks N, Rafols J, Embley E, Hill K.","Dysphagia. 2022 Dec;37(6):1525-1531. doi: 10.1007/s00455-022-10408-6. Epub 2022 Feb 16.","Cocks N","Dysphagia","2022","2022/02/16","","","10.1007/s00455-022-10408-6"
"34747223","Getting the best GRIP on blood pressure control: Investigating a cost-effective isometric handgrip alternative","Richards JJ, van Wyk PM, Wood CN, Shea LP, Swaine I, Levy P, Crawley J, Milne KJ, McGowan CL.","Chronic Illn. 2022 Dec;18(4):964-973. doi: 10.1177/17423953211049753. Epub 2021 Nov 6.","Richards JJ","Chronic Illn","2022","2021/11/08","","","10.1177/17423953211049753"
"33956561","Exercise in patients with hip osteoarthritis - effects on muscle and functional performance: A randomized trial","Bieler T, Kristensen ALR, Nyberg M, Magnusson SP, Kjaer M, Beyer N.","Physiother Theory Pract. 2022 Dec;38(12):1946-1957. doi: 10.1080/09593985.2021.1923096. Epub 2021 May 6.","Bieler T","Physiother Theory Pract","2022","2021/05/06","","","10.1080/09593985.2021.1923096"
"36370207","Heavy Resistance Training Versus Plyometric Training for Improving Running Economy and Running Time Trial Performance: A Systematic Review and Meta-analysis","Eihara Y, Takao K, Sugiyama T, Maeo S, Terada M, Kanehisa H, Isaka T.","Sports Med Open. 2022 Nov 12;8(1):138. doi: 10.1186/s40798-022-00511-1.","Eihara Y","Sports Med Open","2022","2022/11/12","","","10.1186/s40798-022-00511-1"
"36355825","Despite Good Correlations, There Is No Exact Coincidence between Isometric and Dynamic Strength Measurements in Elite Youth Soccer Players","Wagner CM, Warneke K, Bächer C, Liefke C, Paintner P, Kuhn L, Brauner T, Wirth K, Keiner M.","Sports (Basel). 2022 Nov 10;10(11):175. doi: 10.3390/sports10110175.","Wagner CM","Sports (Basel)","2022","2022/11/10","","","10.3390/sports10110175"
"36358588","Skeletal Muscle CSE Deficiency Leads to Insulin Resistance in Mice","Xu M, Liu X, Bao P, Wang Y, Zhu X, Liu Y, Ni X, Lu J.","Antioxidants (Basel). 2022 Nov 9;11(11):2216. doi: 10.3390/antiox11112216.","Xu M","Antioxidants (Basel)","2022","2022/11/11","","","10.3390/antiox11112216"
"36348372","Effects of early home-based strength and sensory-motor training after total hip arthroplasty: study protocol for a multicenter randomized controlled trial","Krištof Mirt P, Strojnik V, Kavčič G, Trebše R.","Trials. 2022 Nov 8;23(1):929. doi: 10.1186/s13063-022-06779-8.","Krištof Mirt P","Trials","2022","2022/11/08","PMC9640830","","10.1186/s13063-022-06779-8"
"36342348","Exercise for the Prevention of Anthracycline-induced Functional Disability and Cardiac Dysfunction: The BReast Cancer Randomized EXercise InTervention (BREXIT) Study","Foulkes SJ, Howden EJ, Haykowsky MJ, Antill Y, Salim A, Nightingale SS, Loi S, Claus P, Janssens K, Mitchell AM, Wright L, Costello BT, Lindqvist A, Burnham L, Wallace I, Daly RM, Fraser SF, La Gerche A.","Circulation. 2022 Nov 7. doi: 10.1161/CIRCULATIONAHA.122.062814. Online ahead of print.","Foulkes SJ","Circulation","2022","2022/11/07","","","10.1161/CIRCULATIONAHA.122.062814"
"36337008","Association of Vastus Lateralis Diffusion Properties with in vivo Quadriceps Contractile Function in Premenopausal Women","Carpenter RS, Samaan MA, Clasey JL, Butterfield TA, Gao F, Hardy PA, Bollinger LM.","Scand J Med Sci Sports. 2022 Nov 7. doi: 10.1111/sms.14266. Online ahead of print.","Carpenter RS","Scand J Med Sci Sports","2022","2022/11/07","","","10.1111/sms.14266"
"36336977","Effects of Exercise Programs on Functional Capacity and Quality of Life in People With Acquired Brain Injury: A Systematic Review and Meta-Analysis","Pérez-Rodríguez M, Gutiérrez-Suárez A, Arias JÁR, Andreu-Caravaca L, Pérez-Tejero J.","Phys Ther. 2022 Nov 7:pzac153. doi: 10.1093/ptj/pzac153. Online ahead of print.","Pérez-Rodríguez M","Phys Ther","2022","2022/11/07","","","10.1093/ptj/pzac153"
"36334240","Influence of Resistance Training Proximity-to-Failure on Skeletal Muscle Hypertrophy: A Systematic Review with Meta-analysis","Refalo MC, Helms ER, Trexler ET, Hamilton DL, Fyfe JJ.","Sports Med. 2022 Nov 5. doi: 10.1007/s40279-022-01784-y. Online ahead of print.","Refalo MC","Sports Med","2022","2022/11/05","","","10.1007/s40279-022-01784-y"
"36093904","Exploring interindividual differences in fasting and postprandial insulin sensitivity adaptations in response to sprint interval exercise training","Metcalfe RS, Gurd BJ, Vollaard NBJ.","Eur J Sport Sci. 2022 Nov 5:1-11. doi: 10.1080/17461391.2022.2124385. Online ahead of print.","Metcalfe RS","Eur J Sport Sci","2022","2022/09/12","","","10.1080/17461391.2022.2124385"
"36364934","Small-Scale Randomized Controlled Trial to Explore the Impact of β-Hydroxy-β-Methylbutyrate Plus Vitamin D(3) on Skeletal Muscle Health in Middle Aged Women","Fairfield WD, Minton DM, Elliehausen CJ, Nichol AD, Cook TL, Rathmacher JA, Pitchford LM, Paluska SA, Kuchnia AJ, Allen JM, Konopka AR.","Nutrients. 2022 Nov 4;14(21):4674. doi: 10.3390/nu14214674.","Fairfield WD","Nutrients","2022","2022/11/11","","","10.3390/nu14214674"
"36360546","Effectiveness of Physical Exercise Interventions on Pulmonary Function and Physical Fitness in Children and Adults with Cystic Fibrosis: A Systematic Review with Meta-Analysis","García-Pérez-de-Sevilla G, Yvert T, Blanco Á, Sosa Pedreschi AI, Thuissard IJ, Pérez-Ruiz M.","Healthcare (Basel). 2022 Nov 3;10(11):2205. doi: 10.3390/healthcare10112205.","García-Pérez-de-Sevilla G","Healthcare (Basel)","2022","2022/11/11","","","10.3390/healthcare10112205"
"36335909","Effects of creative dance on functional capacity, pulmonary function, balance, and cognition in COPD patients: A randomized controlled trial","Kaya M, Gurses HN, Ucgun H, Okyaltirik F.","Heart Lung. 2022 Nov 3;58:13-20. doi: 10.1016/j.hrtlng.2022.10.017. Online ahead of print.","Kaya M","Heart Lung","2022","2022/11/06","","","10.1016/j.hrtlng.2022.10.017"
"36326999","Effects of resistance training on the physical symptoms and functional capacity of patients with fibromyalgia: a systematic review and meta-analysis of randomized clinical trials","Vilarino GT, Branco JHL, de Souza LC, Andrade A.","Ir J Med Sci. 2022 Nov 3. doi: 10.1007/s11845-022-03205-5. Online ahead of print.","Vilarino GT","Ir J Med Sci","2022","2022/11/03","","","10.1007/s11845-022-03205-5"
"36326960","VEGFA rs2010963 GG genotype is associated with superior adaptations to resistance versus endurance training in the same group of healthy, young men","Boidin M, Dawson EA, Thijssen DHJ, Erskine RM.","Mol Genet Genomics. 2022 Nov 3. doi: 10.1007/s00438-022-01965-4. Online ahead of print.","Boidin M","Mol Genet Genomics","2022","2022/11/03","","","10.1007/s00438-022-01965-4"
"36326594","Effects of plyometric training on different 8-week training intensity distributions in well-trained endurance runners","Filipas L, Bonato M, Maggio A, Gallo G, Codella R.","Scand J Med Sci Sports. 2022 Nov 3. doi: 10.1111/sms.14257. Online ahead of print.","Filipas L","Scand J Med Sci Sports","2022","2022/11/03","","","10.1111/sms.14257"
"36361210","Overweight and Obese Adult Patients Show Larger Benefits from Concurrent Training Compared with Pharmacological Metformin Treatment on Insulin Resistance and Fat Oxidation","Azócar-Gallardo J, Ramirez-Campillo R, Afonso J, Sá M, Granacher U, González-Rojas L, Ojeda-Aravena A, García-García JM.","Int J Environ Res Public Health. 2022 Nov 2;19(21):14331. doi: 10.3390/ijerph192114331.","Azócar-Gallardo J","Int J Environ Res Public Health","2022","2022/11/11","","","10.3390/ijerph192114331"
"36318527","An investigation of movement dynamics and muscle activity during traditional and accentuated-eccentric squatting","Armstrong R, Baltzopoulos V, Langan-Evans C, Clark D, Jarvis J, Stewart C, O'Brien T.","PLoS One. 2022 Nov 1;17(11):e0276096. doi: 10.1371/journal.pone.0276096. eCollection 2022.","Armstrong R","PLoS One","2022","2022/11/01","PMC9624406","","10.1371/journal.pone.0276096"
"36270544","Interindividual variability of adaptations following either traditional strength or power training combined to endurance training in older men: A secondary analysis of a randomized clinical trial","Formighieri C, Müller DC, Sáez de Asteasu ML, Mello A, Teodoro JL, Boeno F, Grazioli R, Cunha GDS, Pietta-Dias C, Izquierdo M, Pinto RS, Cadore EL.","Exp Gerontol. 2022 Nov;169:111984. doi: 10.1016/j.exger.2022.111984. Epub 2022 Oct 19.","Formighieri C","Exp Gerontol","2022","2022/10/21","","","10.1016/j.exger.2022.111984"
"36265072","The Effects of Nonconventional Exercise on Functional Capacity and Quality of Life in Patients With Heart Failure: A Systematic Review","Hong K, Esquivel JH.","J Cardiovasc Nurs. 2022 Nov-Dec 01;37(6):530-545. doi: 10.1097/JCN.0000000000000853. Epub 2021 Aug 18.","Hong K","J Cardiovasc Nurs","2022","2022/10/20","","","10.1097/JCN.0000000000000853"
"36227344","Tempo-controlled resistance training of the hip abductors and ankle dorsiflexors with light loads does not improve postural sway in older adults","Carzoli JP, Koger K, Amato A, Enoka RM.","Exp Brain Res. 2022 Nov;240(11):3049-3060. doi: 10.1007/s00221-022-06477-6. Epub 2022 Oct 13.","Carzoli JP","Exp Brain Res","2022","2022/10/13","","","10.1007/s00221-022-06477-6"
"36173561","Inspiratory muscle training in addition to conventional physical rehabilitation in hospitalized patients undergoing hematopoietic stem cell transplantation: a randomized controlled trial","Almeida LB, Laterza MC, Rondon MUPB, de Matos LDNJ, Granger CL, Denehy L, Oliveira CC, Trevizan PF, Martinez DG.","Support Care Cancer. 2022 Nov;30(11):9393-9402. doi: 10.1007/s00520-022-07373-z. Epub 2022 Sep 29.","Almeida LB","Support Care Cancer","2022","2022/09/29","","","10.1007/s00520-022-07373-z"
"36165989","Adaptations to a Concurrent Exercise Training Program in Inactive Aging Women","Wadsworth DD, Rodriguez-Hernandez M, Huffman LS, McDonald JR, Spring KE, Pascoe DD.","J Strength Cond Res. 2022 Nov 1;36(11):3217-3223. doi: 10.1519/JSC.0000000000004200. Epub 2022 Sep 19.","Wadsworth DD","J Strength Cond Res","2022","2022/09/27","","","10.1519/JSC.0000000000004200"
"36126803","Relative leg press strength relates to activity energy expenditure in older women: Implications for exercise prescription","Carter SJ, Singh H, Nabhan DC, Long EB, Hunter GR.","Exp Gerontol. 2022 Nov;169:111956. doi: 10.1016/j.exger.2022.111956. Epub 2022 Sep 17.","Carter SJ","Exp Gerontol","2022","2022/09/20","","","10.1016/j.exger.2022.111956"
"36082806","Effects of fast-velocity concentric resistance training in people with multiple sclerosis: A randomized controlled trial","Andreu-Caravaca L, Ramos-Campo DJ, Chung LH, Manonelles P, Abellán-Aynés O, Rubio-Arias JÁ.","Acta Neurol Scand. 2022 Nov;146(5):652-661. doi: 10.1111/ane.13704. Epub 2022 Sep 9.","Andreu-Caravaca L","Acta Neurol Scand","2022","2022/09/09","","","10.1111/ane.13704"
"36066627","Exercise training as part of multidisciplinary rehabilitation in cancer survivors: an observational study on changes in physical performance and patient-reported outcomes","Weemaes ATR, Weijenberg MP, Lenssen AF, Beelen M.","Support Care Cancer. 2022 Nov;30(11):9255-9266. doi: 10.1007/s00520-022-07351-5. Epub 2022 Sep 6.","Weemaes ATR","Support Care Cancer","2022","2022/09/06","PMC9444699","","10.1007/s00520-022-07351-5"
"36053170","Changes in vastus lateralis fibre cross-sectional area, pennation angle and fascicle length do not predict changes in muscle cross-sectional area","Ruple BA, Mesquita PHC, Godwin JS, Sexton CL, Osburn SC, McIntosh MC, Kavazis AN, Libardi CA, Young KC, Roberts MD.","Exp Physiol. 2022 Nov;107(11):1216-1224. doi: 10.1113/EP090666. Epub 2022 Sep 30.","Ruple BA","Exp Physiol","2022","2022/09/02","PMC9633374","NIHMS1834136","10.1113/EP090666"
"36026469","Acute Effects of High-Intensity Interval Running on Lower-Body and Upper-Body Explosive Strength and Throwing Velocity in Handball Players","Seipp D, Feuerbacher JF, Jacobs MW, Dragutinovic B, Schumann M.","J Strength Cond Res. 2022 Nov 1;36(11):3167-3172. doi: 10.1519/JSC.0000000000004310. Epub 2022 Aug 25.","Seipp D","J Strength Cond Res","2022","2022/08/26","","","10.1519/JSC.0000000000004310"
"36007881","Creatine Monohydrate Supplementation, but not Creatyl-L-Leucine, Increased Muscle Creatine Content in Healthy Young Adults: A Double-Blind Randomized Controlled Trial","Askow AT, Paulussen KJM, McKenna CF, Salvador AF, Scaroni SE, Hamann JS, Ulanov AV, Li Z, Paluska SA, Beaudry KM, De Lisio M, Burd NA.","Int J Sport Nutr Exerc Metab. 2022 Aug 25;32(6):446-452. doi: 10.1123/ijsnem.2022-0074. Print 2022 Nov 1.","Askow AT","Int J Sport Nutr Exerc Metab","2022","2022/08/25","","","10.1123/ijsnem.2022-0074"
"36004501","Associations between biological maturity level, match locomotion, and physical capacities in youth male soccer players","Gundersen H, Riiser A, Algroy E, Vestbøstad M, Saeterbakken AH, Clemm HH, Grendstad H, Hafstad A, Kristoffersen M, Rygh CB.","Scand J Med Sci Sports. 2022 Nov;32(11):1592-1601. doi: 10.1111/sms.14225. Epub 2022 Aug 30.","Gundersen H","Scand J Med Sci Sports","2022","2022/08/25","","","10.1111/sms.14225"
"35986981","Influence of age, sex, and type of exercise on the efficacy of creatine supplementation on lean body mass: A systematic review and meta-analysis of randomized clinical trials","Delpino FM, Figueiredo LM, Forbes SC, Candow DG, Santos HO.","Nutrition. 2022 Nov-Dec;103-104:111791. doi: 10.1016/j.nut.2022.111791. Epub 2022 Jul 8.","Delpino FM","Nutrition","2022","2022/08/20","","","10.1016/j.nut.2022.111791"
"35894913","A Very Low Volume of Nordic Hamstring Exercise Increases Maximal Eccentric Strength and Reduces Hamstring Injury Rate in Professional Soccer Players","Cadu JP, Goreau V, Lacourpaille L.","J Sport Rehabil. 2022 Jul 13;31(8):1061-1066. doi: 10.1123/jsr.2021-0445. Print 2022 Nov 1.","Cadu JP","J Sport Rehabil","2022","2022/07/27","","","10.1123/jsr.2021-0445"
"35839921","Randomization to Treadmill Training Improves Physical and Metabolic Health in Association With Declines in Oxidative Stress in Stroke","Serra MC, Hafer-Macko CE, Robbins R, O'Connor JC, Ryan AS.","Arch Phys Med Rehabil. 2022 Nov;103(11):2077-2084. doi: 10.1016/j.apmr.2022.06.011. Epub 2022 Jul 12.","Serra MC","Arch Phys Med Rehabil","2022","2022/07/15","PMC9637747","NIHMS1824415","10.1016/j.apmr.2022.06.011"
"35809162","The Ergogenic Effects of Acute Carbohydrate Feeding on Resistance Exercise Performance: A Systematic Review and Meta-analysis","King A, Helms E, Zinn C, Jukic I.","Sports Med. 2022 Nov;52(11):2691-2712. doi: 10.1007/s40279-022-01716-w. Epub 2022 Jul 9.","King A","Sports Med","2022","2022/07/09","PMC9584980","","10.1007/s40279-022-01716-w"
"35766614","Vitamin D Metabolites Are Associated with Physical Performance in Young Healthy Adults","Carswell AT, Jackson S, Swinton P, O'Leary TJ, Tang JCY, Oliver SJ, Sale C, Izard RM, Walsh NP, Fraser WD, Greeves JP.","Med Sci Sports Exerc. 2022 Nov 1;54(11):1982-1989. doi: 10.1249/MSS.0000000000002987. Epub 2022 Jun 28.","Carswell AT","Med Sci Sports Exerc","2022","2022/06/29","","","10.1249/MSS.0000000000002987"
"35714077","Cardiovascular, Respiratory, and Functional Effects of Home-Based Exercise Training after COVID-19 Hospitalization","Teixeira DO Amaral V, Viana AA, Heubel AD, Linares SN, Martinelli B, Witzler PHC, Orikassa DE Oliveira GY, Zanini GS, Borghi Silva A, Mendes RG, Ciolac EG.","Med Sci Sports Exerc. 2022 Nov 1;54(11):1795-1803. doi: 10.1249/MSS.0000000000002977. Epub 2022 Jun 17.","Teixeira DO Amaral V","Med Sci Sports Exerc","2022","2022/06/17","","","10.1249/MSS.0000000000002977"
"35703265","Exercise Training Programs Improve Cardiorespiratory and Functional Fitness in Adults With Asthma: A SYSTEMATIC REVIEW AND META-ANALYSIS","Valkenborghs SR, Anderson SL, Scott HA, Callister R.","J Cardiopulm Rehabil Prev. 2022 Nov 1;42(6):423-433. doi: 10.1097/HCR.0000000000000698. Epub 2022 Jul 25.","Valkenborghs SR","J Cardiopulm Rehabil Prev","2022","2022/06/15","","","10.1097/HCR.0000000000000698"
"35675022","Muscle Protein Synthesis Responses Following Aerobic-Based Exercise or High-Intensity Interval Training with or Without Protein Ingestion: A Systematic Review","Bagheri R, Robinson I, Moradi S, Purcell J, Schwab E, Silva T, Baker B, Camera DM.","Sports Med. 2022 Nov;52(11):2713-2732. doi: 10.1007/s40279-022-01707-x. Epub 2022 Jun 8.","Bagheri R","Sports Med","2022","2022/06/08","PMC9585015","","10.1007/s40279-022-01707-x"
"35603411","Acute Effects of Beetroot Juice Supplements on Lower-Body Strength in Female Athletes: Double-Blind Crossover Randomized Trial","Jurado-Castro JM, Campos-Perez J, Ranchal-Sanchez A, Durán-López N, Domínguez R.","Sports Health. 2022 Nov-Dec;14(6):812-821. doi: 10.1177/19417381221083590. Epub 2022 May 21.","Jurado-Castro JM","Sports Health","2022","2022/05/23","PMC9631049","","10.1177/19417381221083590"
"35481889","Does Varying Resistance Exercises for the Same Muscle Group Promote Greater Strength Gains?","Costa BDV, Kassiano W, Nunes JP, Kunevaliki G, Castro-E-Souza P, Sugihara Junior P, Fernandes RR, Cyrino ES, Fortes LS.","J Strength Cond Res. 2022 Nov 1;36(11):3032-3039. doi: 10.1519/JSC.0000000000004042. Epub 2022 Apr 27.","Costa BDV","J Strength Cond Res","2022","2022/04/28","","","10.1519/JSC.0000000000004042"
"35468640","Movement Velocity as a Determinant of Actual Intensity in Resistance Exercise","García JMY, Mora-Custodio R, Ribas-Serna J, González-Badillo JJ, Rodríguez-Rosell D.","Int J Sports Med. 2022 Nov;43(12):1033-1042. doi: 10.1055/a-1834-6693. Epub 2022 Apr 25.","García JMY","Int J Sports Med","2022","2022/04/25","","","10.1055/a-1834-6693"
"35333201","Intra- and Interday Reliability of Weightlifting Variables and Correlation to Performance During Cleans","Sorensen AM, Chavda S, Comfort P, Lake J, Turner AN.","J Strength Cond Res. 2022 Nov 1;36(11):3008-3014. doi: 10.1519/JSC.0000000000004241. Epub 2022 Mar 23.","Sorensen AM","J Strength Cond Res","2022","2022/03/25","","","10.1519/JSC.0000000000004241"
"35255509","Comparison of Velocity and Percentage-based Training on Maximal Strength: Meta-analysis","Zhang M, Tan Q, Sun J, Ding S, Yang Q, Zhang Z, Lu J, Liang X, Li D.","Int J Sports Med. 2022 Nov;43(12):981-995. doi: 10.1055/a-1790-8546. Epub 2022 Mar 7.","Zhang M","Int J Sports Med","2022","2022/03/07","","","10.1055/a-1790-8546"
"35114871","Load-Velocity Relationship Variables to Assess the Maximal Neuromuscular Capacities During the Back-Squat Exercise","Pérez-Castilla A, Jukic I, Janicijevic D, Akyildiz Z, Senturk D, García-Ramos A.","Sports Health. 2022 Nov-Dec;14(6):885-893. doi: 10.1177/19417381211064603. Epub 2022 Feb 3.","Pérez-Castilla A","Sports Health","2022","2022/02/04","PMC9631046","","10.1177/19417381211064603"
"35112815","Effect of high-volume cluster sets versus lower-volume traditional sets on muscular performance","Davies TB, Andersen JT, Halaki M, Orr R, Hackett DA.","J Sports Med Phys Fitness. 2022 Nov;62(11):1456-1464. doi: 10.23736/S0022-4707.22.12994-4. Epub 2022 Feb 3.","Davies TB","J Sports Med Phys Fitness","2022","2022/02/03","","","10.23736/S0022-4707.22.12994-4"
"34758654","Effects of Whole-Season Training and Match-Play on Hip Adductor and Abductor Muscle Strength in Soccer Players: A Pilot Study","Moreno-Pérez V, Peñaranda M, Soler A, López-Samanes Á, Aagaard P, Del Coso J.","Sports Health. 2022 Nov-Dec;14(6):912-919. doi: 10.1177/19417381211053783. Epub 2021 Nov 10.","Moreno-Pérez V","Sports Health","2022","2021/11/11","PMC9631036","","10.1177/19417381211053783"
"34537804","Including the Eccentric Phase in Resistance Training to Counteract the Effects of Detraining in Women: A Randomized Controlled Trial","Coratella G, Beato M, Bertinato L, Milanese C, Venturelli M, Schena F.","J Strength Cond Res. 2022 Nov 1;36(11):3023-3031. doi: 10.1519/JSC.0000000000004039. Epub 2021 Apr 5.","Coratella G","J Strength Cond Res","2022","2021/09/19","","","10.1519/JSC.0000000000004039"
"34537803","Velocity-Monitored Resistance Training in Older Adults: The Effects of Low-Velocity Loss Threshold on Strength and Functional Capacity","Marques DL, Neiva HP, Marinho DA, Marques MC.","J Strength Cond Res. 2022 Nov 1;36(11):3200-3208. doi: 10.1519/JSC.0000000000004036. Epub 2021 Apr 5.","Marques DL","J Strength Cond Res","2022","2021/09/19","","","10.1519/JSC.0000000000004036"
"34132222","Acute Mechanical, Neuromuscular, and Metabolic Responses to Different Set Configurations in Resistance Training","Piqueras-Sanchiz F, Cornejo-Daza PJ, Sánchez-Valdepeñas J, Bachero-Mena B, Sánchez-Moreno M, Martín-Rodríguez S, García-García Ó, Pareja-Blanco F.","J Strength Cond Res. 2022 Nov 1;36(11):2983-2991. doi: 10.1519/JSC.0000000000004068. Epub 2021 Jun 15.","Piqueras-Sanchiz F","J Strength Cond Res","2022","2021/06/16","","","10.1519/JSC.0000000000004068"
"34127610","Effects of Flywheel Training With Eccentric Overload on Standing Balance, Mobility, Physical Function, Muscle Thickness, and Muscle Quality in Older Adults","Hill MW, Roberts M, Price MJ, Kay AD.","J Strength Cond Res. 2022 Nov 1;36(11):3190-3199. doi: 10.1519/JSC.0000000000004006. Epub 2021 Jun 11.","Hill MW","J Strength Cond Res","2022","2021/06/15","","","10.1519/JSC.0000000000004006"
"34115697","Effects of Different Velocity Loss Thresholds on Passive Contractile Properties and Muscle Oxygenation in the Squat Exercise Using Free Weights","Muñoz-López A, Marín-Galindo A, Corral-Pérez J, Costilla M, Sánchez-Sixto A, Sañudo B, Casals C, Ponce-González JG.","J Strength Cond Res. 2022 Nov 1;36(11):3056-3064. doi: 10.1519/JSC.0000000000004048. Epub 2021 Jun 10.","Muñoz-López A","J Strength Cond Res","2022","2021/06/11","","","10.1519/JSC.0000000000004048"
"34085999","Effects of Eccentric Single-Leg Decline Squat Training Performed With Different Execution Times on Maximal Strength and Muscle Contraction Properties of the Knee Extensor Muscles","Abián-Vicén J, Martínez F, Jiménez F, Abián P.","J Strength Cond Res. 2022 Nov 1;36(11):3040-3047. doi: 10.1519/JSC.0000000000004063. Epub 2021 Jun 3.","Abián-Vicén J","J Strength Cond Res","2022","2021/06/04","","","10.1519/JSC.0000000000004063"
"34027915","Level of Effort: A Reliable and Practical Alternative to the Velocity-Based Approach for Monitoring Resistance Training","Hernández-Belmonte A, Courel-Ibáñez J, Conesa-Ros E, Martínez-Cava A, Pallarés JG.","J Strength Cond Res. 2022 Nov 1;36(11):2992-2999. doi: 10.1519/JSC.0000000000004060. Epub 2021 May 20.","Hernández-Belmonte A","J Strength Cond Res","2022","2021/05/24","","","10.1519/JSC.0000000000004060"
