Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A combined plyometric and resistance training program improves fitness performance in 12 to 14-years-old boys.","Fischetti, Francesco; Cataldi, Stefania; Greco, Gianpiero","Sport Sciences for Health",="18247490",,="20191201","15","3","615","7","139654339",,,"Article","PLYOMETRICS; RESISTANCE training; PHYSICAL fitness",,"Background: Nowadays resistance and plyometric training are deemed to be a crucial component of a health promoting lifestyle in youth. Effects of resistance training and plyometric training may actually be synergistic, with their combined effects being greater than each program performed alone. Aims: This randomized controlled study aimed to compare the effects of an 8-week training period of combined plyometric and resistance training with resistance training alone on fitness performance in boys. Methods: Participants (24 boys, 12–14 years) were randomly assigned to an 8-week combined training group (CT, n = 12) that performed plyometric exercises (~ 20 min.) followed by resistance training or a resistance training group (RT, n = 12) that performed static stretching exercises (~ 20 min.) followed by the same resistance training program. Both groups performed twice weekly training sessions of 90 min. At baseline and after training all participants were tested on the 20-m sprint (time) and Squat Jump (power, velocity, force and height). Results: The CT group showed significantly (p < 0.05) improvement than RT in the 20-m sprint time (− 0.07 vs. 0.05 s), and Squat Jump (Power: 159.0 vs. − 5.0 W; velocity: 0.2 vs. − 0.2 m s−1; force: 41.2 vs. − 57.4 N; height: 10.6 vs. − 0.3 cm) following training. Conclusions: Results suggest that when seeking to induce specific acute adaptations in vertical jump and acceleration capacities in lower limbs, male adolescents may benefit more from exposure to a combination of plyometric and resistance training methods. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=139654339&site=ehost-live"
"A comparative study of the effects of endurance and resistance exercise training on PON1 and lipid profile levels in obese men.","Mahdirejei, Taleb; Razi, Motaleb; Mahdirejei, Hassan; Barari, Alireza; Farzanegi, Parvin; Shahrestani, Zabiholla; Ahmadi, Mehran","Sport Sciences for Health",="18247490",,="20151201","11","3","263","8","111003116",,,"Article","ENDURANCE sports training; ISOMETRIC exercise; OVERWEIGHT men",,"Purpose: Paraoxonase-1 (PON1) is an HDL-associated enzyme that is a main preventive factor for oxidizing lipids and forming oxide LDL. There are contradictory studies about the effects of exercise training on PON1 levels. Therefore, the aim of this study was to investigate the effects of endurance or resistance exercise training on PON1 and lipid profile levels in obese men. Methods: Twenty-six obese men, were divided into three groups: endurance training ( n = 9), resistance training ( n = 9) and control ( n = 8). Both of the training groups participated in 4 weeks of resistance and endurance training, respectively, with intensity of 65-80 % maximum heart rate and 60-80 % 1RM. Results: After 4 weeks of endurance and resistance training, a significant decrease was observed in weight (respectively, P = 0.010 and P = 0.012) and body fat percentage (respectively, P = 0.006 and P = 0.006), while PON1 levels significantly increased in aerobic groups (296.11 ± 255.3 vs. 342.2 ± 284.6 nmol/l, p = 0.039) and LDL levels (123.55 ± 20.15 vs. 111.33 ± 36.74 mg/dl, p = 0.05) significantly decreased. In contrast, in resistance training and control groups, we did not observe any significant changes in cholesterol, TG, LDL, HDL levels. In addition, a significant correlation was not observed between PON1 levels and anthropometric and metabolic parameters between groups ( p > 0.05). Conclusion: The results of this research indicate that endurance training can be used as an effective factor to reduce the risks of cardiovascular disease in obese men. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=111003116&site=ehost-live"
"A comparison between the standard recruit training program and hydraulic resistive training on aerobic power, strength and endurance at CFRS Cornwallis.","Lee, W.","Periscope",="10443189",,="19840101",,"16","99",,"SPH179921",,,"Article","TRAINING; EQUIPMENT & supplies; CIRCUIT training; PHYSICAL fitness; AEROBIC capacity; CANADA; ARMED Forces; PROGRAMS; EVALUATION; COMPARATIVE studies",,"A comparison is made between regular training methods for recruits and methods using hydra gym equipment. The aspects tested were VO2 max, muscle strength and endurance. There were improvements in all areas in the group using the hydra equipment, due mainly to its capability to produce training results in a minimum time frame.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPH179921&site=ehost-live"
"A comparison of high versus low dose of exercise training in exercise-based cardiac rehabilitation: a randomized controlled trial with 12-months follow-up.","Petersen, Annemette Krintel; Oestergaard, Lisa Gregersen; van Tulder, Maurits; Laustsen, Sussie","Clinical Rehabilitation",="02692155",,="20200101","34","1","69","13","141048110",,,"Article","ENERGY metabolism; EXERCISE physiology; MUSCLE contraction; MUSCLE strength; AEROBIC capacity; OXYGEN consumption; EXERCISE intensity; DENMARK; ANALYSIS of variance; CHI-squared test; CARDIAC rehabilitation; RESEARCH funding; STATISTICAL sampling; STATISTICS; DATA analysis; RANDOMIZED controlled trials; BLIND experiment; DATA analysis software; DESCRIPTIVE statistics",,"Objective: To assess if a higher dose of exercise training in exercise-based cardiac rehabilitation could affect improvements in aerobic capacity and muscle strength. Design: Assessor-blinded randomized controlled trial with 12-months follow-up. Setting: Aarhus University Hospital, Aarhus, Denmark. Subjects: A total of 164 cardiac patients referred to exercise-based cardiac rehabilitation were recruited. Interventions: Patients were randomized to 1-hour exercise sessions either three times weekly for 12 weeks (36 sessions, high-dose group) or twice weekly for 8 weeks (16 sessions, low-dose group). The same standardized exercise and intensity protocol including aerobic and muscle strength training was used in all participants. Main measures: Primary outcome was changes in VO2peak. Secondary outcomes were changes in maximal workload, muscle strength and power. Measures were obtained at baseline, after termination of the rehabilitation programme and at follow-up after 6 and 12 months. Results: After the end of intervention, statistically significant between-group differences were seen in favour of the high-dose group in all outcomes: VO2peak 2.6 (mL kg−1 min−1) (95% confidence interval (CI): 0.4–4.8), maximal workload 0.3 W kg−1 (95%CI: 0.02–0.5), isometric muscle strength 0.7 N m kg−1 (95%CI: 0.1–1.2) and muscle power 0.3 W kg−1 (95%CI: 0.04–0.6). After 12 months, a significant between-group difference only persisted in VO2peak and maximal workload. Conclusion: A higher dose of exercise training had a small effect on all outcomes at termination of intervention. A long-term effect persisted in VO2peak and maximal workload. Although the effect was small, it is an important finding because VO2peak is the most important predictor of all-cause mortality in cardiac patients. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=141048110&site=ehost-live"
"A Comparison of the Effects of Resistance and Endurance Training Protocols on Serum Irisin Level and Alkaline Phosphatase Activity in Sedentary Obese Women.","Poutafkand, Fereshte; Marefati, Hamid; Taherichadorneshin, Hossein","Polish Journal of Sport & Tourism",="18991998",,="20201201","27","4","23","6","149121178",,,"Article","RESISTANCE training; OVERWEIGHT women; AEROBIC capacity; ISOMETRIC exercise; REGULATION of body weight; ALKALINE phosphatase",,"Introduction. Studies have revealed that the anabolic effect of irisin on bone is mediated by an increase in alkaline phosphatase. However, few studies have investigated the interactive effect of irisin on alkaline phosphatase after exercise training. Therefore, the present study aimed to compare the impact of endurance and resistance training protocols on serum irisin concentration and total alkaline phosphatase activity in sedentary obese women. Material and methods. Forty-five sedentary obese women (age: 48.96 ± 5.2 years, body mass index 32.24 ± 3.76 kg/m2) were randomly assigned to control, endurance, and resistance groups. Endurance (45 to 75 minutes at an intensity corresponding to 50 to 80% of heart rate reserve) and resistance exercise training (3 sets, 10-15 repetitions at an intensity corresponding to 50 to 65% of one-repetition maximum) were conducted for 8 weeks, 3 days per week. Maximal oxygen consumption (VO2max) was estimated using the modified Bruce protocol treadmill test. Fasting blood samples were taken before the first and 48-hr after the last exercise training sessions. The serum concentrations of irisin and total alkaline phosphatase activity were measured using the sandwich ELISA method and photo-metric method, respectively. Results. Both endurance and resistance exercise training protocols caused a significant reduction in BMI and BFP of obese women. In contrast, VO2max significantly increased after both exercise training protocols. However, neither endurance nor resistance training protocols had a significant impact on the serum concentrations of irisin and total alkaline phosphatase activity. No significant inter-group differences were observed between the subjects' BMI, BFP, VO2max, total alkaline phosphatase, and irisin at the end of protocols. Conclusions. The finding of the current study revealed that neither of the training protocols had a significant impact on bone anabolic parameters. However, performing these types of exercise is suggested for weight management in obese women. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=149121178&site=ehost-live"
"A comparison of the effects of traditional circuit weight training versus aerobic super circuit training.","Loney, L.Z.",,,,="19900101",,,,,"SPH292922",,"University Microfilms International","Thesis or dissertation","WEIGHT training; AEROBIC capacity; ADIPOSE tissues; BODY weight; ADAPTATION (Physiology); COMPARATIVE studies; WOMEN",,,"https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPH292922&site=ehost-live"
"A COMPARISON OF TRAINING AND PHYSICAL PERFORMANCE OF POLICE STUDENTS AT THE START AND THE END OF THREE-YEAR POLICE EDUCATION.","LAGESTAD, PåL; VAN DEN TILLAAR, ROLAND","Journal of Strength & Conditioning Research",="10648011",,="20140501","28","5","1394","7","96109824",,,"Article","ANTHROPOMETRY; EXERCISE physiology; EXERCISE tests; JUMPING; MUSCLE strength; SENSORY perception; PHYSICAL diagnosis; PHYSICAL fitness; RUNNING; BODY movement; RESISTANCE training; POLICE education; COMPARATIVE studies; INDUSTRIAL hygiene; LONGITUDINAL method; QUESTIONNAIRES; DESCRIPTIVE statistics",,"The article reports on research which was conducted to compare the training and physical performance of police students at the start and end of their three year police education. Researchers evaluated 235 students with a survey. They found that following their education students' maximum strength training and performance in strength related physical tests increased and that endurance and sprint training decreased.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=96109824&site=ehost-live"
"A Comparison of Training With a Velocity Loss Threshold or to Repetition Failure on Upper-Body Strength Development in Professional Australian Footballers.","Kilgallon, Mark J.; Johnston, Michael J.; Kilduff, Liam P.; Watsford, Mark L.","International Journal of Sports Physiology & Performance",="15550265",,="20211201","16","12","1758","6","153963260",,,"Article","ARM physiology; RESISTANCE training; EXERCISE physiology; MUSCLE strength; EXERCISE intensity; FOOTBALL; AUSTRALIA; DESCRIPTIVE statistics",,"Purpose: To compare resistance training using a velocity loss threshold with training to repetition failure on upper-body strength parameters in professional Australian footballers. Methods: A total of 26 professional Australian footballers (23.9 [4.2] y, 189.9 [7.8] cm, 88.2 [8.8] kg) tested 1-repetition-maximum strength (FPmax) and mean barbell velocity at 85% of 1-repetition maximum on floor press (FPvel). They were then assigned to 2 training groups: 20% velocity loss threshold training (VL; n = 12, maximum-effort lift velocity) or training to repetition failure (TF; n = 14, self-selected lift velocity). Subjects trained twice per week for 3 weeks before being reassessed on FPmax and FPvel. Training volume (total repetitions) was recorded for all training sessions. No differences were present between groups on any pretraining measure. Results: The TF group significantly improved FPmax (105.2–110.9 kg, +5.4%), while the VL group did not (107.5–109.2 kg, +1.6%) (P >.05). Both groups significantly increased FPvel (0.38–0.46 m·s−1, +19.1% and 0.37–0.42 m·s−1, +16.7%, respectively) with no between-groups differences evident (P >.05). The TF group performed significantly more training volume (12.2 vs 6.8 repetitions per session, P >.05). Conclusions: Training to repetition failure improved FPmax, while training using a velocity loss threshold of 20% did not. Both groups demonstrated similar improvements in FPvel despite the VL group completing 45% less total training volume than the TF group. The reduction in training volume associated with implementing a 20% velocity loss threshold may negatively impact the development of upper-body maximum strength while still enhancing submaximal movement velocity. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=153963260&site=ehost-live"
"A CRITICAL ANALYSIS OF THE ACSM POSITION STAND ON RESISTANCE TRAINING: INSUFFICIENT EVIDENCE TO SUPPORT RECOMMENDED TRAINING PROTOCOLS.","Carpinelli, Ralph N.; Otto, Robert M.; Winett, Richard A.","Professionalization of Exercise Physiology",="10995862",,="20040601","7","3","1","60","16216473",,,"Article","PHYSICAL education; ATHLETICS; EXERCISE; SPORTS; PHYSICAL fitness; MUSCLES; SPORTS medicine; MUSCLE strength",,"In February 2002, the American College of Sports Medicine (ACSM) published a Position Stand entitled Progression Models in Resistance Training for Healthy Adults. The ACSM claims that the programmed manipulation of resistance-training protocols such as the training modality, repetition duration, range of repetitions, number of sets, and frequency of training will differentially affect specific physiological adaptations such as muscular strength, hypertrophy, power, and endurance. The ACSM also asserts that for progression in healthy adults, the programs for intermediate, advanced, and elite trainees must be different from those prescribed for novices. An objective evaluation of the resistance-training studies shows that these claims are primarily unsubstantiated. In fact, the preponderance of resistance-training studies suggest that simple, low-volume, time-efficient, resistance training is just as effective for increasing muscular strength, hypertrophy, power, and endurance—regardless of training experience—as are the complex, high-volume, time-consuming protocols that are recommended in the Position Stand. This document examines the basis for many of the claims in the Position Stand and provides an objective review of the resistance training literature. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=16216473&site=ehost-live"
"A CRITICAL ANALYSIS OF THE ACSM POSITION STAND ON RESISTANCE TRAINING: INSUFFICIENT EVIDENCE TO SUPPORT RECOMMENDED TRAINING PROTOCOLS.","Carpinelli, Ralph N.; Otto, Robert M.; Winnett, Richard A.","Journal of Exercise Physiology Online",="10979751",,="20040601","7","3","1","60","16062676",,,"Article","ISOMETRIC exercise; PHYSICAL education; TRAINING; SPORTS medicine; UNITED States; HEALTH of adults",,"In February 2002, the American College of Sports Medicine (ACSM) published a Position Stand entitled Progression Models in Resistance Training for Healthy Adults. The ACSM claims that the programmed manipulation of resistance-training protocols such as the training modality, repetition duration, range of repetitions, number of sets, and frequency of training will differentially affect specific physiological adaptations such as muscular strength, hypertrophy, power, and endurance. The ACSM also asserts that for progression in healthy adults, the programs for intermediate, advanced, and elite trainees must be different from those prescribed for novices. An objective evaluation of the resistance-training studies shows that these claims are primarily unsubstantiated. In fact, the preponderance of resistance-training studies suggest that simple, low-volume, time-efficient, resistance training is just as effective for increasing muscular strength, hypertrophy, power, and endurance--regardless of training experience--as are the complex, high-volume, time-consuming protocols that are recommended in the Position Stand. This document examines the basis for many of the claims in the Position Stand and provides an objective review of the resistance training literature. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=16062676&site=ehost-live"
