PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"7224355","The effects of inspiratory muscle training on exercise performance in chronic airflow limitation","Pardy RL, Rivington RN, Despas PJ, Macklem PT.","Am Rev Respir Dis. 1981 Apr;123(4 Pt 1):426-33. doi: 10.1164/arrd.1981.123.4.426.","Pardy RL","Am Rev Respir Dis","1981","1981/04/01","","","10.1164/arrd.1981.123.4.426"
"7240300","The effect of prolonged physical training on the properties of long bone: a study of Wolff's Law","Woo SL, Kuei SC, Amiel D, Gomez MA, Hayes WC, White FC, Akeson WH.","J Bone Joint Surg Am. 1981 Jun;63(5):780-7.","Woo SL","J Bone Joint Surg Am","1981","1981/06/01","","",""
"7283686","Muscle formation in Ehlers-Danlos syndrome","Bilkey WJ, Baxter TL, Kottke FJ, Mundale MO.","Arch Phys Med Rehabil. 1981 Sep;62(9):444-8.","Bilkey WJ","Arch Phys Med Rehabil","1981","1981/09/01","","",""
"6215707","Physical activity in the treatment of stress disorders of the musculo-skeletal system","Staff PH.","Scand J Soc Med Suppl. 1982;29:203-7.","Staff PH","Scand J Soc Med Suppl","1982","1982/01/01","","",""
"6218367","Left ventricular size following endurance, sprint, and strength training","Ricci G, Lajoie D, Petitclerc R, Peronnet F, Ferguson RJ, Fournier M, Taylor AW.","Med Sci Sports Exerc. 1982;14(5):344-7.","Ricci G","Med Sci Sports Exerc","1982","1982/01/01","","",""
"6756274","Obesity, diabetes mellitus and physical activity--metabolic responses to physical training in adipose and muscle tissues","Sullivan L.","Ann Clin Res. 1982;14 Suppl 34:51-62.","Sullivan L","Ann Clin Res","1982","1982/01/01","","",""
"6890445","Muscle hypertrophy in bodybuilders","Tesch PA, Larsson L.","Eur J Appl Physiol Occup Physiol. 1982;49(3):301-6. doi: 10.1007/BF00441291.","Tesch PA","Eur J Appl Physiol Occup Physiol","1982","1982/01/01","","","10.1007/BF00441291"
"6958035","Physical activity in children and adolescents in relation to growth and development","Meen HD, Oseid S.","Scand J Soc Med Suppl. 1982;29:121-34.","Meen HD","Scand J Soc Med Suppl","1982","1982/01/01","","",""
"6958037","Can physical activity counteract ageing?","Laerum M, Laerum OD.","Scand J Soc Med Suppl. 1982;29:147-52.","Laerum M","Scand J Soc Med Suppl","1982","1982/01/01","","",""
"6958045","Asthma and physical activity","Oseid S.","Scand J Soc Med Suppl. 1982;29:227-34.","Oseid S","Scand J Soc Med Suppl","1982","1982/01/01","","",""
"6982508","Physical activity in the treatment of inflammatory rheumatic disorders","Bjørholt PG, Høyeraal HM, Munthe E, Pahle J, Kogstad O, Sydnes OA, Ziesler J.","Scand J Soc Med Suppl. 1982;29:235-9.","Bjørholt PG","Scand J Soc Med Suppl","1982","1982/01/01","","",""
"7070258","Relationship between power and sprint freestyle swimming","Sharp RL, Troup JP, Costill DL.","Med Sci Sports Exerc. 1982;14(1):53-6. doi: 10.1249/00005768-198201000-00010.","Sharp RL","Med Sci Sports Exerc","1982","1982/01/01","","","10.1249/00005768-198201000-00010"
"7109892","A comparison of combined running and weight training with circuit weight training","Gettman LR, Ward P, Hagan RD.","Med Sci Sports Exerc. 1982;14(3):229-34.","Gettman LR","Med Sci Sports Exerc","1982","1982/01/01","","",""
"7162385","Body weight loss in a wrestler preparing for competition: a case report","Widerman PM, Hagan RD.","Med Sci Sports Exerc. 1982;14(6):413-8. doi: 10.1249/00005768-198206000-00001.","Widerman PM","Med Sci Sports Exerc","1982","1982/01/01","","","10.1249/00005768-198206000-00001"
"7162388","Echocardiographic dimensions in athletes in relation to their training programs","Snoeckx LH, Abeling HF, Lambregts JA, Schmitz JJ, Verstappen FT, Reneman RS.","Med Sci Sports Exerc. 1982;14(6):428-34. doi: 10.1249/00005768-198206000-00004.","Snoeckx LH","Med Sci Sports Exerc","1982","1982/01/01","","","10.1249/00005768-198206000-00004"
"7162390","Anaerobic threshold measurements of elite oarsmen","Mickelson TC, Hagerman FC.","Med Sci Sports Exerc. 1982;14(6):440-4. doi: 10.1249/00005768-198206000-00006.","Mickelson TC","Med Sci Sports Exerc","1982","1982/01/01","","","10.1249/00005768-198206000-00006"
"7059326","The effect of two years' training on aerobic power and muscle strength in male and female cadets","Daniels WL, Wright JE, Sharp DS, Kowal DM, Mello RP, Stauffer RS.","Aviat Space Environ Med. 1982 Feb;53(2):117-21.","Daniels WL","Aviat Space Environ Med","1982","1982/02/01","","",""
"7085155","Relationship of strength and endurance with skeletal muscle structure and metabolic potential","Gollnick PD.","Int J Sports Med. 1982 Feb;3 Suppl 1:26-32.","Gollnick PD","Int J Sports Med","1982","1982/02/01","","",""
"7073463","Physiology of weight-lifting exercise","Gonyea WJ, Sale D.","Arch Phys Med Rehabil. 1982 May;63(5):235-7.","Gonyea WJ","Arch Phys Med Rehabil","1982","1982/05/01","","",""
"6212521","[Anatomical and functional changes in the heart caused by physical stress shown in M-mode echocardiography]","Simon G.","Fortschr Med. 1982 May 6;100(17):810-4.","Simon G","Fortschr Med","1982","1982/05/06","","",""
"7117616","[Role of extrapolation and dynamic stereotype in the mechanisms of the formation and improvement of adequate motor coordinations]","Zimkin NV.","Fiziol Zh SSSR Im I M Sechenova. 1982 Jul;68(7):926-35.","Zimkin NV","Fiziol Zh SSSR Im I M Sechenova","1982","1982/07/01","","",""
"7149451","The effects of inspiratory muscle training in patients with cystic fibrosis","Asher MI, Pardy RL, Coates AL, Thomas E, Macklem PT.","Am Rev Respir Dis. 1982 Nov;126(5):855-9. doi: 10.1164/arrd.1982.126.5.855.","Asher MI","Am Rev Respir Dis","1982","1982/11/01","","","10.1164/arrd.1982.126.5.855"
"7160037","Physical fitness of students in British Columbia: a criterion-referenced evaluation","Mosher RE, Carre FA, Schutz RW.","Can J Appl Sport Sci. 1982 Dec;7(4):249-57.","Mosher RE","Can J Appl Sport Sci","1982","1982/12/01","","",""
"6585934","Load moment, muscle strength and level of muscular activity during internal rotation training of the shoulder","Harms-Ringdahl K, Ekholm J, Arborelius UP, Németh G, Schüldt K.","Scand J Rehabil Med Suppl. 1983;9:125-35.","Harms-Ringdahl K","Scand J Rehabil Med Suppl","1983","1983/01/01","","",""
"6632375","Thigh and calf blood flows after isometric contraction in untrained and trained subjects","Kitamura K, Shimaoka M, Matsui H, Miyamura M.","Jpn J Physiol. 1983;33(3):449-58. doi: 10.2170/jjphysiol.33.449.","Kitamura K","Jpn J Physiol","1983","1983/01/01","","","10.2170/jjphysiol.33.449"
"6645861","Effects of endurance training on coronary resistance in dogs","Carey RA, Santamore WP, Michele JJ, Bove AA.","Med Sci Sports Exerc. 1983;15(5):355-9.","Carey RA","Med Sci Sports Exerc","1983","1983/01/01","","",""
"6656558","Characteristics of national, divisional, and club male alpine ski racers","Brown SL, Wilkinson JG.","Med Sci Sports Exerc. 1983;15(6):491-5.","Brown SL","Med Sci Sports Exerc","1983","1983/01/01","","",""
"6683161","A study of physical demands in riding","Westerling D.","Eur J Appl Physiol Occup Physiol. 1983;50(3):373-82. doi: 10.1007/BF00423243.","Westerling D","Eur J Appl Physiol Occup Physiol","1983","1983/01/01","","","10.1007/BF00423243"
"27463166","Interseason Training and Aerobic Fitness of Motocross Racers","Caldwell JE, Rauhala E.","Phys Sportsmed. 1983 Feb;11(2):132-42. doi: 10.1080/00913847.1983.11708461.","Caldwell JE","Phys Sportsmed","1983","2016/07/28","","","10.1080/00913847.1983.11708461"
"6851015","Effect of 12 months of intense exercise training on stroke volume in patients with coronary artery disease","Hagberg JM, Ehsani AA, Holloszy JO.","Circulation. 1983 Jun;67(6):1194-9. doi: 10.1161/01.cir.67.6.1194.","Hagberg JM","Circulation","1983","1983/06/01","","","10.1161/01.cir.67.6.1194"
"6883023","Physiological changes seen after six weeks sequence training","Macdonald RP.","Br J Sports Med. 1983 Jun;17(2):76-83. doi: 10.1136/bjsm.17.2.76.","Macdonald RP","Br J Sports Med","1983","1983/06/01","PMC1859026","","10.1136/bjsm.17.2.76"
"6883619","Physiological characteristics of elite kayak paddlers","Tesch PA.","Can J Appl Sport Sci. 1983 Jun;8(2):87-91.","Tesch PA","Can J Appl Sport Sci","1983","1983/06/01","","",""
"6861548","When should respiratory muscles be exercised?","","Chest. 1983 Jul;84(1):76-84. doi: 10.1378/chest.84.1.76.","","Chest","1983","1983/07/01","","","10.1378/chest.84.1.76"
"6640817","Seasonal variables among physiological variables in elite oarsmen","Hagerman FC, Staron RS.","Can J Appl Sport Sci. 1983 Sep;8(3):143-8.","Hagerman FC","Can J Appl Sport Sci","1983","1983/09/01","","",""
"6416856","The effect of high-resistance training on the strength and cross-sectional area of the human quadriceps","Young A, Stokes M, Round JM, Edwards RH.","Eur J Clin Invest. 1983 Oct;13(5):411-7. doi: 10.1111/j.1365-2362.1983.tb00122.x.","Young A","Eur J Clin Invest","1983","1983/10/01","","","10.1111/j.1365-2362.1983.tb00122.x"
"6624669","Effect of exercise training on the blood pressure and hemodynamic features of hypertensive adolescents","Hagberg JM, Goldring D, Ehsani AA, Heath GW, Hernandez A, Schechtman K, Holloszy JO.","Am J Cardiol. 1983 Oct 1;52(7):763-8. doi: 10.1016/0002-9149(83)90412-5.","Hagberg JM","Am J Cardiol","1983","1983/10/01","","","10.1016/0002-9149(83)90412-5"
"6228532","Changes in neuromuscular performance in voluntary and reflex contraction during strength training in man","Häkkinen K, Komi PV.","Int J Sports Med. 1983 Nov;4(4):282-8. doi: 10.1055/s-2008-1026051.","Häkkinen K","Int J Sports Med","1983","1983/11/01","","","10.1055/s-2008-1026051"
"6674220","[Objectification of the training effect of sports therapy for wheelchair users]","Koch I, Schlegel M, Pirrwitz A, Jaschke B, Schlegel K.","Int J Rehabil Res. 1983 Dec;6(4):439-48.","Koch I","Int J Rehabil Res","1983","1983/12/01","","",""
"6381044","Physical training in obese women. Effects of muscle morphology, biochemistry and function","Mandroukas K, Krotkiewski M, Hedberg M, Wroblewski Z, Björntorp P, Grimby G.","Eur J Appl Physiol Occup Physiol. 1984;52(4):355-61. doi: 10.1007/BF00943363.","Mandroukas K","Eur J Appl Physiol Occup Physiol","1984","1984/01/01","","","10.1007/BF00943363"
"6542500","Variations in serum myoglobin after a 2-min isokinetic exercise test and the effects of training","Roxin LE, Venge P, Friman G.","Eur J Appl Physiol Occup Physiol. 1984;53(1):43-7. doi: 10.1007/BF00964688.","Roxin LE","Eur J Appl Physiol Occup Physiol","1984","1984/01/01","","","10.1007/BF00964688"
"6690660","Effect of weight training on blood pressure and hemodynamics in hypertensive adolescents","Hagberg JM, Ehsani AA, Goldring D, Hernandez A, Sinacore DR, Holloszy JO.","J Pediatr. 1984 Jan;104(1):147-51. doi: 10.1016/s0022-3476(84)80615-0.","Hagberg JM","J Pediatr","1984","1984/01/01","","","10.1016/s0022-3476(84)80615-0"
"6693313","Physical fitness and cardiovascular response to lower body negative pressure","Raven PB, Rohm-Young D, Blomqvist CG.","J Appl Physiol Respir Environ Exerc Physiol. 1984 Jan;56(1):138-44. doi: 10.1152/jappl.1984.56.1.138.","Raven PB","J Appl Physiol Respir Environ Exerc Physiol","1984","1984/01/01","","","10.1152/jappl.1984.56.1.138"
"6693333","Muscle capillary supply and fiber type characteristics in weight and power lifters","Tesch PA, Thorsson A, Kaiser P.","J Appl Physiol Respir Environ Exerc Physiol. 1984 Jan;56(1):35-8. doi: 10.1152/jappl.1984.56.1.35.","Tesch PA","J Appl Physiol Respir Environ Exerc Physiol","1984","1984/01/01","","","10.1152/jappl.1984.56.1.35"
"6723243","The role of maximal oxygen uptake in exercise performance","Snell PG, Mitchell JH.","Clin Chest Med. 1984 Mar;5(1):51-62.","Snell PG","Clin Chest Med","1984","1984/03/01","","",""
"6390601","Applied physiology of cycling","Faria IE.","Sports Med. 1984 May-Jun;1(3):187-204. doi: 10.2165/00007256-198401030-00003.","Faria IE","Sports Med","1984","1984/05/01","","","10.2165/00007256-198401030-00003"
"6390603","Response of skeletal muscle to training","Matoba H, Gollnick PD.","Sports Med. 1984 May-Jun;1(3):240-51. doi: 10.2165/00007256-198401030-00006.","Matoba H","Sports Med","1984","1984/05/01","","","10.2165/00007256-198401030-00006"
"6748931","Body composition and expiratory reserve volume in female gymnasts and runners","Barlett HL, Mance MJ, Buskirk ER.","Med Sci Sports Exerc. 1984 Jun;16(3):311-5.","Barlett HL","Med Sci Sports Exerc","1984","1984/06/01","","",""
"6390606","Applied physiology of rowing","Hagerman FC.","Sports Med. 1984 Jul-Aug;1(4):303-26. doi: 10.2165/00007256-198401040-00005.","Hagerman FC","Sports Med","1984","1984/07/01","","","10.2165/00007256-198401040-00005"
"6476186","A guideline for cardiopulmonary conditioning in the middle-aged recreational athlete. A physiologic base","Raven PB, Smith ML.","Am J Sports Med. 1984 Jul-Aug;12(4):268-77. doi: 10.1177/036354658401200406.","Raven PB","Am J Sports Med","1984","1984/07/01","","","10.1177/036354658401200406"
"6564103","Respiratory muscle function in health","Rochester DF.","Heart Lung. 1984 Jul;13(4):349-54.","Rochester DF","Heart Lung","1984","1984/07/01","","",""
"6493017","Influence of intense endurance training on aerobic power of competitive distance runners","Mikesell KA, Dudley GA.","Med Sci Sports Exerc. 1984 Aug;16(4):371-5.","Mikesell KA","Med Sci Sports Exerc","1984","1984/08/01","","",""
"6501023","Endurance training in older men and women. I. Cardiovascular responses to exercise","Seals DR, Hagberg JM, Hurley BF, Ehsani AA, Holloszy JO.","J Appl Physiol Respir Environ Exerc Physiol. 1984 Oct;57(4):1024-9. doi: 10.1152/jappl.1984.57.4.1024.","Seals DR","J Appl Physiol Respir Environ Exerc Physiol","1984","1984/10/01","","","10.1152/jappl.1984.57.4.1024"
"6513767","Effects of high-intensity strength training on cardiovascular function","Hurley BF, Seals DR, Ehsani AA, Cartier LJ, Dalsky GP, Hagberg JM, Holloszy JO.","Med Sci Sports Exerc. 1984 Oct;16(5):483-8. doi: 10.1249/00005768-198410000-00011.","Hurley BF","Med Sci Sports Exerc","1984","1984/10/01","","","10.1249/00005768-198410000-00011"
"6387367","Diminished insulin receptors on monocytes and erythrocytes in hypertriglyceridemia","Bieger WP, Michel G, Barwich D, Biehl K, Wirth A.","Metabolism. 1984 Nov;33(11):982-7. doi: 10.1016/0026-0495(84)90224-5.","Bieger WP","Metabolism","1984","1984/11/01","","","10.1016/0026-0495(84)90224-5"
"6391876","Normalization of insulin sensitivity in type I diabetic subjects by physical training during insulin pump therapy","Yki-Järvinen H, DeFronzo RA, Koivisto VA.","Diabetes Care. 1984 Nov-Dec;7(6):520-7. doi: 10.2337/diacare.7.6.520.","Yki-Järvinen H","Diabetes Care","1984","1984/11/01","","","10.2337/diacare.7.6.520"
"6491088","Effect of aerobic conditioning on the peripheral circulation during chronic beta-adrenergic blockade","Hiatt WR, Marsh RC, Brammell HL, Fee C, Horwitz LD.","J Am Coll Cardiol. 1984 Nov;4(5):958-63. doi: 10.1016/s0735-1097(84)80057-1.","Hiatt WR","J Am Coll Cardiol","1984","1984/11/01","","","10.1016/s0735-1097(84)80057-1"
"6516885","Static contraction of the quadriceps muscle in man: cardiovascular control and responses to one-legged strength training","Lewis S, Nygaard E, Sanchez J, Egeblad H, Saltin B.","Acta Physiol Scand. 1984 Nov;122(3):341-53. doi: 10.1111/j.1748-1716.1984.tb07518.x.","Lewis S","Acta Physiol Scand","1984","1984/11/01","","","10.1111/j.1748-1716.1984.tb07518.x"
"6520042","Related and unrelated changes in response to exercise and cold in rats: a reevaluation","Harri M, Dannenberg T, Oksanen-Rossi R, Hohtola E, Sundin U.","J Appl Physiol Respir Environ Exerc Physiol. 1984 Nov;57(5):1489-97. doi: 10.1152/jappl.1984.57.5.1489.","Harri M","J Appl Physiol Respir Environ Exerc Physiol","1984","1984/11/01","","","10.1152/jappl.1984.57.5.1489"
"6523804","[Comparative effectiveness of microelements added to the diet of athletes during training in different seasons]","Nasolodin VV, Rusin VIa, Gladkin IP.","Vopr Pitan. 1984 Nov-Dec;(6):33-8.","Nasolodin VV","Vopr Pitan","1984","1984/11/01","","",""
"6525749","The acquisition of muscular strength: the influence of training velocity and initial VO2 max","Petersen SR, Miller GD, Wenger HA, Quinney HA.","Can J Appl Sport Sci. 1984 Dec;9(4):176-80.","Petersen SR","Can J Appl Sport Sci","1984","1984/12/01","","",""
"3161099","Response of the rat cardiovascular system to a moderate altitude in connection with endurance training","Barta E, Ostádal B, Pelouch V, Procházka J, Strec V.","Physiol Bohemoslov. 1985;34(2):103-10.","Barta E","Physiol Bohemoslov","1985","1985/01/01","","",""
"3883073","Endurance exercise training. An effective therapeutic modality for hemodialysis patients","Harter HR, Goldberg AP.","Med Clin North Am. 1985 Jan;69(1):159-75. doi: 10.1016/s0025-7125(16)31063-x.","Harter HR","Med Clin North Am","1985","1985/01/01","","","10.1016/s0025-7125(16)31063-x"
"3883076","The physiologic sequelae of chronic dynamic exercise","Hammond HK, Froelicher VF.","Med Clin North Am. 1985 Jan;69(1):21-39.","Hammond HK","Med Clin North Am","1985","1985/01/01","","",""
"3912049","Exercise testing and training of the elderly patient","Landin RJ, Linnemeier TJ, Rothbaum DA, Chappelear J, Noble RJ.","Cardiovasc Clin. 1985;15(2):201-18.","Landin RJ","Cardiovasc Clin","1985","1985/01/01","","",""
"3912052","Therapeutic exercise in patients with chronic obstructive pulmonary disease","Weg JG.","Cardiovasc Clin. 1985;15(2):261-75.","Weg JG","Cardiovasc Clin","1985","1985/01/01","","",""
"3967307","Physiologic aspects of gymnastics","Kirkendall DT.","Clin Sports Med. 1985 Jan;4(1):17-22.","Kirkendall DT","Clin Sports Med","1985","1985/01/01","","",""
"4065108","Fitness changes of Naval women following aerobic based programs featuring calisthenic or circuit weight training exercises","Marcinik EJ, Hodgdon JA, O'Brien JJ, Mittleman K.","Eur J Appl Physiol Occup Physiol. 1985;54(3):244-9. doi: 10.1007/BF00426140.","Marcinik EJ","Eur J Appl Physiol Occup Physiol","1985","1985/01/01","","","10.1007/BF00426140"
"4081984","[Experience with the application of long-term physical training in the rehabilitation of patients with stenocardia]","Anikin VV.","Ter Arkh. 1985;57(10):11-4.","Anikin VV","Ter Arkh","1985","1985/01/01","","",""
"4090587","[Significance of sports for the heart of the elderly]","Hollmann W, Rost R, Liesen H.","Z Kardiol. 1985;74 Suppl 7:39-48.","Hollmann W","Z Kardiol","1985","1985/01/01","","",""
"3157367","Isometric abdominal muscle training and G tolerance","Balldin UI, Myhre K, Tesch PA, Wilhelmsen U, Andersen HT.","Aviat Space Environ Med. 1985 Feb;56(2):120-4.","Balldin UI","Aviat Space Environ Med","1985","1985/02/01","","",""
"3970455","Inspiratory muscle training in patients with chronic obstructive pulmonary disease","Chen H, Dukes R, Martin BJ.","Am Rev Respir Dis. 1985 Feb;131(2):251-5. doi: 10.1164/arrd.1985.131.2.251.","Chen H","Am Rev Respir Dis","1985","1985/02/01","","","10.1164/arrd.1985.131.2.251"
"3920719","Physical activity and exercise to achieve health-related physical fitness components","Haskell WL, Montoye HJ, Orenstein D.","Public Health Rep. 1985 Mar-Apr;100(2):202-12.","Haskell WL","Public Health Rep","1985","1985/03/01","PMC1424730","",""
"3979485","Relieving dyspnea with an inexpensive and simple method in patients with severe chronic airflow limitation","Falk P, Eriksen AM, Kølliker K, Andersen JB.","Eur J Respir Dis. 1985 Mar;66(3):181-6.","Falk P","Eur J Respir Dis","1985","1985/03/01","","",""
"3985896","Plasma lactic dehydrogenase activities in men during bed rest with exercise training","Greenleaf JE, Juhos LT, Young HL.","Aviat Space Environ Med. 1985 Mar;56(3):193-8.","Greenleaf JE","Aviat Space Environ Med","1985","1985/03/01","","",""
"4031773","Metabolic and circulatory limitations to VO2 max at the whole animal level","di Prampero PE.","J Exp Biol. 1985 Mar;115:319-31. doi: 10.1242/jeb.115.1.319.","di Prampero PE","J Exp Biol","1985","1985/03/01","","","10.1242/jeb.115.1.319"
"4031776","Malleability of the motor system: training for maximizing power output","Howald H.","J Exp Biol. 1985 Mar;115:365-73. doi: 10.1242/jeb.115.1.365.","Howald H","J Exp Biol","1985","1985/03/01","","","10.1242/jeb.115.1.365"
"2859796","Metabolic adaptations to exercise: a review of potential beta-adrenoceptor antagonist effects","Karlsson J.","Am J Cardiol. 1985 Apr 26;55(10):48D-58D. doi: 10.1016/0002-9149(85)91055-0.","Karlsson J","Am J Cardiol","1985","1985/04/26","","","10.1016/0002-9149(85)91055-0"
"4059201","[Content and utilization of testosterone in the cardiac and skeletal muscles of male rats during physical exercise]","Chaĭkovskiĭ VS, Ivanova EI, Rogozkin VA.","Probl Endokrinol (Mosk). 1985 May-Jun;31(3):78-82.","Chaĭkovskiĭ VS","Probl Endokrinol (Mosk)","1985","1985/05/01","","",""
"4008419","A hemodynamic comparison of young and older endurance athletes during exercise","Hagberg JM, Allen WK, Seals DR, Hurley BF, Ehsani AA, Holloszy JO.","J Appl Physiol (1985). 1985 Jun;58(6):2041-6. doi: 10.1152/jappl.1985.58.6.2041.","Hagberg JM","J Appl Physiol (1985)","1985","1985/06/01","","","10.1152/jappl.1985.58.6.2041"
"4030189","Thermoregulatory responses to weight training","Gordon NF, Russell HM, Krüger PE, Cilliers JF.","Int J Sports Med. 1985 Jun;6(3):145-50. doi: 10.1055/s-2008-1025828.","Gordon NF","Int J Sports Med","1985","1985/06/01","","","10.1055/s-2008-1025828"
"4030562","Dynamic exercise training in foxhounds. I. Oxygen consumption and hemodynamic responses","Musch TI, Haidet GC, Ordway GA, Longhurst JC, Mitchell JH.","J Appl Physiol (1985). 1985 Jul;59(1):183-9. doi: 10.1152/jappl.1985.59.1.183.","Musch TI","J Appl Physiol (1985)","1985","1985/07/01","","","10.1152/jappl.1985.59.1.183"
"2932419","Effect of swimming training on cardiac function and myosin ATPase activity in SHR","Sharma RV, Tomanek RJ, Bhalla RC.","J Appl Physiol (1985). 1985 Sep;59(3):758-65. doi: 10.1152/jappl.1985.59.3.758.","Sharma RV","J Appl Physiol (1985)","1985","1985/09/01","","","10.1152/jappl.1985.59.3.758"
"4053932","Effects of exercise training on insulin sensitivity in adolescents with type I diabetes","Landt KW, Campaigne BN, James FW, Sperling MA.","Diabetes Care. 1985 Sep-Oct;8(5):461-5. doi: 10.2337/diacare.8.5.461.","Landt KW","Diabetes Care","1985","1985/09/01","","","10.2337/diacare.8.5.461"
"4076355","Inspiratory resistance versus general physical training in patients with chronic obstructive pulmonary disease","Madsen F, Secher NH, Kay L, Kok-Jensen A, Rube N.","Eur J Respir Dis. 1985 Sep;67(3):167-76.","Madsen F","Eur J Respir Dis","1985","1985/09/01","","",""
"2866577","Exercise performance and beta-blockade","Tesch PA.","Sports Med. 1985 Nov-Dec;2(6):389-412. doi: 10.2165/00007256-198502060-00002.","Tesch PA","Sports Med","1985","1985/11/01","","","10.2165/00007256-198502060-00002"
