Comparison Number,Outcome Number,Subgroup Number,Name,Data Type,Statistical Method,Effect Measure,Analysis Model,Study Confidence Interval,Total Confidence Interval,Test for subgroup differences,Events 1,Mean 1,SD 1,Total 1,Events 2,Mean 2,SD 2,Total 2,Effect Estimate,SE,CI Start,CI End,Weight,Q,P(Q),I²(Q),Tau²,Z,P(Z),Qint,P(Qint),I²(Qint),df,Year of study,Random sequence generation (selection bias),Allocation concealment (selection bias),Blinding of outcome assessment (detection bias),Incomplete outcome data (attrition bias),Selective reporting (reporting bias),Other bias
1,1,1,Robineau et al. 2017 *,,,,,,,,0,174.19,31.36,19,0,187.3,34.1,11,-0.39411687,0.38278045,-1.14435276,0.35611902,6.38923437,,,,,,,,,,,2017,Low risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,1,1,Robineau et al. 2016 *,,,,,,,,0,181.98,28.8,38,0,190,38.4,10,-0.25517862,0.35644738,-0.95380265,0.44344542,7.36813285,,,,,,,,,,,2016,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Unclear risk
1,1,1,Bell et al. 2000,,,,,,,,0,379.5,44.97,8,0,393.6,75.67,7,-0.21723918,0.51960623,-1.23564868,0.80117032,3.46736539,,,,,,,,,,,2000,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,1,1,De Souza et al. 2013,,,,,,,,0,315.7,63.5,11,0,320.3,57,11,-0.07334261,0.42657603,-0.90941626,0.76273104,5.14464514,,,,,,,,,,,2013,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,1,1,Mccarthy et al. 1995,,,,,,,,0,125.05,8.87,10,0,125.33,7.8,10,-0.03210777,0.44724948,-0.90870064,0.8444851,4.6800299,,,,,,,,,,,1995,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,1,1,Shamim et al. 2018,,,,,,,,0,310.8,69.34,12,0,309.5,62.43,10,0.01885765,0.42818592,-0.82037132,0.85808662,5.10603227,,,,,,,,,,,2018,High risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,1,1,Dolezal & Potteiger. 1998,,,,,,,,0,118.9,21,10,0,116.1,22.4,10,0.12351594,0.44774432,-0.7540468,1.00107868,4.66969101,,,,,,,,,,,1998,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,1,1,Mirghani et al. 2014,,,,,,,,0,98.03,15.46,8,0,95.77,15.18,8,0.13946724,0.50080578,-0.84209406,1.12102853,3.73258447,,,,,,,,,,,2014,Low risk,Unclear risk,Unclear risk,High risk,Low risk,High risk
1,1,2,Females,CON,IV,Std. Mean Difference,Random,,,,0,,,59,0,,,39,0.07689992,,-0.34111783,0.49491767,20.58045891,1.25901325,0.73888811,0,0,0.36056143,0.71842733,,,,3,,
1,1,2,Terzis et al. 2016,,,,,,,,0,149,13.9,10,0,151.7,12.2,9,-0.19646649,0.46086074,-1.09973694,0.70680396,4.40766813,,,,,,,,,,,2016,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,1,2,Laird et al. 2016,,,,,,,,0,68.12,4.76,12,0,69.07,11.42,14,-0.10220522,0.3936987,-0.87384049,0.66943005,6.03976932,,,,,,,,,,,2016,High risk,High risk,Unclear risk,Low risk,Low risk,Low risk
1,1,2,Bell et al. 2000,,,,,,,,0,257.3,32.42,5,0,249.1,151,4,0.07156826,0.67119753,-1.24395474,1.38709125,2.07800989,,,,,,,,,,,2000,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,1,2,Silva et al. 2012 *,,,,,,,,0,144.71,24.16,32,0,135.3,29,12,0.36215605,0.34091104,-0.30601732,1.03032942,8.05501158,,,,,,,,,,,2012,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,2,0,upperbody strength male female,CON,IV,Std. Mean Difference,Random,95%,95%,Yes,0,,,205,0,,,136,-0.13837258,,-0.39837311,0.12162795,100,16.80064217,0.20857873,22.62200533,0.05512495,1.04309508,0.29690428,0.18482136,0.66726217,0,13,,
1,2,1,Males,CON,IV,Std. Mean Difference,Random,,,,0,,,165,0,,,119,-0.12275785,,-0.4011074,0.15559169,85.69594514,13.94755403,0.23590932,21.13312503,0.05087917,0.86438428,0.38737684,,,,11,,
1,2,1,Izquierdo et al. 2005,,,,,,,,0,69.75,11.93,10,0,82.92,7.2,11,-1.29920927,0.49028555,-2.26015129,-0.33826725,5.95508063,,,,,,,,,,,2005,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,2,1,Mirghani et al. 2014,,,,,,,,0,64.85,7.28,8,0,70.3,8.14,8,-0.66728044,0.51813158,-1.68279967,0.34823879,5.43830463,,,,,,,,,,,2014,Low risk,Unclear risk,Unclear risk,High risk,Low risk,High risk
1,2,1,Libardi et al. 2011,,,,,,,,0,84.4,13.5,11,0,90,14.8,12,-0.38022426,0.42194186,-1.20721511,0.4467666,7.54741897,,,,,,,,,,,2011,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,2,1,Robineau et al. 2016 *,,,,,,,,0,88.34,19.02,38,0,95.3,14.7,10,-0.37500691,0.35764743,-1.07598299,0.32596917,9.61422477,,,,,,,,,,,2016,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Unclear risk
1,2,1,Robineau et al. 2017 *,,,,,,,,0,97.24,18.75,19,0,99.5,14.2,11,-0.12737595,0.37927821,-0.87074759,0.61599569,8.84401765,,,,,,,,,,,2017,Low risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,2,1,Kraemer et al. 1995,,,,,,,,0,95.14,14.86,9,0,97.03,20.54,9,-0.1004106,0.47178466,-1.02509155,0.82427034,6.33676307,,,,,,,,,,,1995,Low risk,Low risk,Unclear risk,Low risk,Low risk,High risk
1,2,1,Dolezal & Potteiger. 1998,,,,,,,,0,92.9,21.5,10,0,94.3,15.3,10,-0.07185929,0.4473933,-0.94873404,0.80501546,6.89327774,,,,,,,,,,,1998,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,2,1,Shamim et al. 2018,,,,,,,,0,81.3,20.46,12,0,82.8,21.81,10,-0.06846115,0.42832592,-0.90796453,0.77104223,7.3757063,,,,,,,,,,,2018,High risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,2,1,Balabinis et al. 2003,,,,,,,,0,110.8,3.93,7,0,110.5,2.14,7,0.08875856,0.53488862,-0.95960388,1.137121,5.15708248,,,,,,,,,,,2003,High risk,High risk,Unclear risk,Low risk,Low risk,Low risk
1,2,1,Mccarthy et al. 1995,,,,,,,,0,85.73,7.93,10,0,84.36,6.77,10,0.17796549,0.44831467,-0.70071511,1.0566461,6.8710652,,,,,,,,,,,1995,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,2,1,Fyfe et al. 2016 *,,,,,,,,0,90,18.96,15,0,83,22,8,0.33693365,0.44118561,-0.52777425,1.20164156,7.04551185,,,,,,,,,,,2016,Low risk,Low risk,Unclear risk,High risk,Low risk,Unclear risk
1,2,1,Glowacki et al. 2004,,,,,,,,0,99.5,17.8,16,0,86.5,18.6,13,0.69579178,0.38611192,-0.06097369,1.45255725,8.61749186,,,,,,,,,,,2004,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,2,2,Females,CON,IV,Std. Mean Difference,Random,,,,0,,,40,0,,,17,-0.38217849,,-1.53166239,0.76730541,14.30405486,2.82506013,0.09280352,64.60252336,0.46169712,0.65164556,0.51462986,,,,1,,
1,2,2,Bell et al. 1997,,,,,,,,0,46.2,4.5,8,0,51.5,4.5,5,-1.09560724,0.62549562,-2.32155612,0.13034165,3.94237166,,,,,,,,,,,1997,High risk,High risk,Unclear risk,High risk,Low risk,Low risk
1,2,2,Silva et al. 2012 *,,,,,,,,0,35.97,5.06,32,0,35.4,6.9,12,0.09994579,0.33868571,-0.56386601,0.76375758,10.3616832,,,,,,,,,,,2012,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,3,0,Power males and females difference,CON,IV,Std. Mean Difference,Random,95%,95%,Yes,0,,,177,0,,,138,-0.34523981,,-0.57709653,-0.11338308,100,10.35068893,0.58522453,0,0,2.91842986,0.00351799,0.80420962,0.36983779,0,12,,
1,3,1,Males,CON,IV,Std. Mean Difference,Random,,,,0,,,135,0,,,87,-0.27191854,,-0.54950488,0.00566781,69.76589989,5.91582279,0.65666066,0,0,1.91994509,0.05486484,,,,8,,
1,3,1,Prieto-González et al. 2022,,,,,,,,0,35.16,1.29,10,0,37.07,1.81,10,-1.16392947,0.49211503,-2.12845721,-0.19940173,5.77843129,,,,,,,,,,,2022,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,Low risk
1,3,1,Shamim et al. 2018,,,,,,,,0,41.4,6.08,12,0,44.62,5.42,10,-0.53479863,0.43732328,-1.3919365,0.32233924,7.31708375,,,,,,,,,,,2018,High risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,3,1,Chtara et al. 2008 *,,,,,,,,0,285.62,14.9,20,0,290.6,11.29,9,-0.34752181,0.404377,-1.14008616,0.44504254,8.5579615,,,,,,,,,,,2008,High risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,3,1,Fyfe et al. 2016 *,,,,,,,,0,48.87,7.97,15,0,52,12,8,-0.31739401,0.44080534,-1.1813566,0.54656858,7.20194042,,,,,,,,,,,2016,Low risk,Low risk,Unclear risk,High risk,Low risk,Unclear risk
1,3,1,Kraemer et al. 1995,,,,,,,,0,697,112,9,0,735,123,9,-0.30766718,0.47496155,-1.23857472,0.62324036,6.20335024,,,,,,,,,,,1995,Low risk,Low risk,Unclear risk,Low risk,Low risk,High risk
1,3,1,Glowacki et al. 2004,,,,,,,,0,52,11.6,16,0,54,8,13,-0.19135495,0.37437102,-0.92510866,0.54239876,9.98478639,,,,,,,,,,,2004,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,3,1,Robineau et al. 2017 *,,,,,,,,0,33.92,4.36,19,0,34.2,4.9,11,-0.05974129,0.37895798,-0.80248527,0.6830027,9.74453485,,,,,,,,,,,2017,Low risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,3,1,Robineau et al. 2016 *,,,,,,,,0,34.93,4,27,0,35.2,6.9,10,-0.05378048,0.37024422,-0.77944581,0.67188486,10.20861078,,,,,,,,,,,2016,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Unclear risk
1,3,1,Balabinis et al. 2003,,,,,,,,0,59.6,2.37,7,0,58.7,1.88,7,0.39388635,0.54168749,-0.66780163,1.45557433,4.76920066,,,,,,,,,,,2003,High risk,High risk,Unclear risk,Low risk,Low risk,Low risk
1,3,2,Females,CON,IV,Std. Mean Difference,Random,,,,0,,,42,0,,,51,-0.51773499,,-0.977714,-0.05775597,30.23410011,3.54839843,0.31453919,15.45481551,0.03421764,2.20606135,0.0273797,,,,3,,
1,3,2,Hendrickson et al. 2010,,,,,,,,0,"1,652.9",117.5,12,0,"1,755.5",98.7,17,-0.93409232,0.39945669,-1.71701305,-0.15117158,8.7700851,,,,,,,,,,,2010,Low risk,Unclear risk,Unclear risk,High risk,Unclear risk,High risk
1,3,2,Spiliopoulou et al. 2021,,,,,,,,0,24.91,4.58,9,0,29.06,4.42,10,-0.88171176,0.48674606,-1.8357165,0.07229298,5.9066105,,,,,,,,,,,2021,Unclear risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,3,2,Terzis et al. 2016,,,,,,,,0,28.2,2.6,9,0,29.5,4.5,10,-0.33305316,0.46345859,-1.24141529,0.57530898,6.51510399,,,,,,,,,,,2016,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,3,2,Laird et al. 2016,,,,,,,,0,769.6,108.5,12,0,769.4,103.7,14,0.00182847,0.39339799,-0.76921743,0.77287437,9.04230051,,,,,,,,,,,2016,High risk,High risk,Unclear risk,Low risk,Low risk,Low risk
1,4,0,Hypertrophy males females,CON,IV,Std. Mean Difference,Random,95%,95%,Yes,0,,,54,0,,,58,0.2398673,,-0.28956232,0.76929692,100,7.67063711,0.10441622,47.85309297,0.17447344,0.88799578,0.37454303,0,1,0,4,,
1,4,1,Males,CON,IV,Std. Mean Difference,Random,,,,0,,,54,0,,,58,0.2398673,,-0.28956232,0.76929692,100,7.67063711,0.10441622,47.85309297,0.17447344,0.88799578,0.37454303,,,,4,,
1,4,1,Mccarthy et al. 2002,,,,,,,,0,101.51,4.6,10,0,104.9,4.49,10,-0.71430646,0.46463452,-1.62497338,0.19636046,18.69202907,,,,,,,,,,,2002,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,4,1,De Souza et al. 2013,,,,,,,,0,89.97,9.2,11,0,88.5,8.9,11,0.15624122,0.42719319,-0.68104205,0.99352448,20.44050641,,,,,,,,,,,2013,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,4,1,Tsitkanou et al . 2017,,,,,,,,0,96,2.9,10,0,95.2,5,11,0.18549654,0.43808396,-0.67313225,1.04412533,19.91477869,,,,,,,,,,,2017,High risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,4,1,Shamim et al. 2018,,,,,,,,0,3.16,0.39,12,0,2.97,0.31,10,0.5131086,0.43660323,-0.34261801,1.36883521,19.98542641,,,,,,,,,,,2018,High risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,4,1,Häkkinen et al. 2003,,,,,,,,0,92.2,6.8,11,0,83.8,9.4,16,0.96322082,0.41656459,0.14676924,1.77967241,20.96725942,,,,,,,,,,,2003,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Low risk,High risk
1,4,2,Females,CON,IV,Std. Mean Difference,Random,,,,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,,,0,,
1,5,0,VO2max Males Females,CON,IV,Std. Mean Difference,Random,95%,95%,Yes,0,,,367,0,,,311,-0.02683452,,-0.21057794,0.1569089,100,44.92759747,0.08058039,26.54848722,0.07790179,0.28623987,0.77469441,2.26718939,0.13213946,55.89252471,33,,
1,5,1,Males,CON,IV,Std. Mean Difference,Random,,,,0,,,292,0,,,256,0.03539193,,-0.17077101,0.24155487,80.95217393,36.27657841,0.08669877,28.32841149,0.08322849,0.33646645,0.73651915,,,,26,,
1,5,1,Nelson et al. 1990,,,,,,,,0,48.8,2,5,0,54.7,5.5,4,-1.34296461,0.79260128,-2.89643457,0.21050536,1.24465718,,,,,,,,,,,1990,Low risk,Low risk,Unclear risk,High risk,Low risk,High risk
1,5,1,Shaw et al. 2009,,,,,,,,0,34.74,5.92,13,0,39.98,4.87,12,-0.93094026,0.42524363,-1.76440245,-0.09747807,3.39683148,,,,,,,,,,,2009,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Libardi et al. 2012,,,,,,,,0,34.43,5.4,11,0,38.55,3.98,12,-0.84313733,0.43919349,-1.70394074,0.01766608,3.24556584,,,,,,,,,,,2012,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Mccarthy et al. 1995,,,,,,,,0,45.5,5.69,10,0,48.7,8.22,10,-0.43354691,0.45370904,-1.32280029,0.45570648,3.09731857,,,,,,,,,,,1995,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,5,1,Shamim et al. 2018,,,,,,,,0,45.3,4.51,12,0,47.66,6.6,10,-0.40916674,0.43355319,-1.25891537,0.44058189,3.30565706,,,,,,,,,,,2018,High risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,5,1,Damasceno et al. 2015,,,,,,,,0,54.4,5.3,9,0,56.8,6,9,-0.40377721,0.47751449,-1.33968842,0.53213399,2.87287579,,,,,,,,,,,2015,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Kraemer et al. 1995,,,,,,,,0,56.38,4.69,9,0,58.65,6.87,8,-0.37083724,0.49130037,-1.33376827,0.59209379,2.75269827,,,,,,,,,,,1995,Low risk,Low risk,Unclear risk,Low risk,Low risk,High risk
1,5,1,Dolezal & Potteiger. 1998,,,,,,,,0,55.8,5.2,10,0,57.1,5,10,-0.24408454,0.44928258,-1.12466221,0.63649313,3.14157195,,,,,,,,,,,1998,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,5,1,Filipas et al. 2022 (2),,,,,,,,0,4.43,0.5,15,0,4.49,0.46,15,-0.12151618,0.36553611,-0.83795379,0.59492142,4.15507785,,,,,,,,,,,,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
1,5,1,Levin et al. 2009,,,,,,,,0,62.3,3.2,7,0,62.5,2.7,7,-0.06324247,0.5347084,-1.11125168,0.98476673,2.41572198,,,,,,,,,,,2009,Low risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,5,1,Vorup et al. 2016,,,,,,,,0,59.8,5.6,8,0,60.1,5.5,6,-0.05052594,0.54017918,-1.10925768,1.0082058,2.37729684,,,,,,,,,,,2016,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Sanchez-moreno et al. 2021 *,,,,,,,,0,3.78,0.38,22,0,3.79,0.44,11,-0.02436962,0.36928831,-0.7481614,0.69942217,4.10161203,,,,,,,,,,,2021,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Millet et al. 2002,,,,,,,,0,67.2,4.4,7,0,67.3,5.6,8,-0.01852166,0.51756415,-1.03292876,0.99588543,2.54175976,,,,,,,,,,,2002,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Beattie et al. 2017,,,,,,,,0,59.1,2.78,6,0,59.07,2.27,9,0.01139161,0.52705184,-1.02161102,1.04439424,2.47093492,,,,,,,,,,,2016,High risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Bell et al. 2000,,,,,,,,0,4.54,0.62,8,0,4.53,0.63,7,0.01506762,0.51755909,-0.99932955,1.02946478,2.54179832,,,,,,,,,,,2000,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Prieto-González et al. 2022,,,,,,,,0,60.98,3.36,10,0,60.91,4.27,10,0.01744966,0.44722419,-0.85909365,0.89399298,3.16243225,,,,,,,,,,,2022,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,Low risk
1,5,1,Glowacki et al. 2004,,,,,,,,0,44.6,6.8,16,0,44.3,7,12,0.04230188,0.38192999,-0.70626716,0.79087091,3.92754385,,,,,,,,,,,2004,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
1,5,1,De Souza et al. 2013,,,,,,,,0,53.8,8.62,11,0,52.4,5.31,8,0.17980324,0.46581374,-0.73317491,1.09278138,2.98040885,,,,,,,,,,,2013,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Goncalves et al. 2022,,,,,,,,0,48.8,8.11,10,0,46.4,12.43,11,0.21724872,0.43851152,-0.64221807,1.07671551,3.25275575,,,,,,,,,,,2022,Low risk,Unclear risk,Unclear risk,High risk,Low risk,High risk
1,5,1,Skovgaard et al. 2014,,,,,,,,0,59.5,2.77,12,0,58.2,6.9,9,0.25219316,0.44306714,-0.61620248,1.12058881,3.20511524,,,,,,,,,,,2014,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Hausswirth et al. 2010,,,,,,,,0,70.8,5.5,7,0,68.3,10.1,7,0.28780317,0.53835965,-0.76736237,1.3429687,2.38998345,,,,,,,,,,,2010,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Aagaard et al . 2011,,,,,,,,0,75,6,7,0,73,2.3,7,0.41207605,0.54235964,-0.65092932,1.47508141,2.36221457,,,,,,,,,,,2011,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Filipas et al. 2022 (1),,,,,,,,0,4.58,0.44,15,0,4.32,0.5,15,0.53714725,0.37265152,-0.19323632,1.26753081,4.05439738,,,,,,,,,,,2022,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk
1,5,1,Gomez-molina et al. 2018,,,,,,,,0,61.1,6.5,14,0,56.9,7.4,11,0.5881402,0.41297715,-0.22128013,1.39756054,3.53740708,,,,,,,,,,,2018,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Mikkola et al. 2012,,,,,,,,0,43.3,7.3,11,0,39.4,3.9,11,0.64109268,0.43954171,-0.22039324,1.5025786,3.24190248,,,,,,,,,,,2012,Unclear risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Chtara et al. 2005 *,,,,,,,,0,57.44,2.09,20,0,54.73,3.42,10,1.01687677,0.41211597,0.20914432,1.82460922,3.54755283,,,,,,,,,,,2005,High risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,1,Balabinis et al. 2003,,,,,,,,0,62,1.91,7,0,59,0.9,7,1.88111856,0.6794037,0.54951178,3.21272534,1.62908236,,,,,,,,,,,2003,High risk,High risk,Unclear risk,Low risk,Low risk,Low risk
1,5,2,Females,CON,IV,Std. Mean Difference,Random,,,,0,,,75,0,,,55,-0.28670657,,-0.65178665,0.0783735,19.04782607,6.13268858,0.40849186,2.16362818,0.00535993,1.53920908,0.12375326,,,,6,,
1,5,2,Johnston et al. 1997,,,,,,,,0,48,2,6,0,51,1.9,6,-1.41965174,0.67702203,-2.74659054,-0.09271294,1.63889632,,,,,,,,,,,1997,Low risk,Unclear risk,High risk,Low risk,Low risk,Low risk
1,5,2,Lemura et al. 2000,,,,,,,,0,39.1,4.1,12,0,42.2,4.5,10,-0.69604211,0.44356088,-1.56540545,0.17332124,3.20000666,,,,,,,,,,,2000,Unclear risk,High risk,Unclear risk,Low risk,Low risk,Low risk
1,5,2,Stohanzl et al. 2018 *,,,,,,,,0,36.68,6,20,0,38.3,4.5,11,-0.28536114,0.37737743,-1.02500732,0.45428504,3.98916776,,,,,,,,,,,2018,Low risk,Unclear risk,Unclear risk,High risk,Low risk,High risk
1,5,2,Vikmoen et al 2016,,,,,,,,0,52.5,4.2,11,0,53.5,1.8,8,-0.27913598,0.46743553,-1.19529278,0.63702082,2.96518959,,,,,,,,,,,2016,Low risk,Unclear risk,Unclear risk,High risk,Low risk,Low risk
1,5,2,Bell et al. 2000,,,,,,,,0,3,0.2,5,0,3.05,0.6,4,-0.10559799,0.67164118,-1.42199051,1.21079453,1.66137898,,,,,,,,,,,2000,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,2,Bishop et al. 1999,,,,,,,,0,48.4,5.5,14,0,48.4,9.7,7,0,0.46291005,-0.90728703,0.90728703,3.00791632,,,,,,,,,,,1999,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
1,5,2,Kelly et al. 2008,,,,,,,,0,45.1,7.2,7,0,42.3,4.9,9,0.44159781,0.51191131,-0.56172992,1.44492554,2.58527045,,,,,,,,,,,2008,Low risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
2,0,0,Status differences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,Lower body strength status effect,CON,IV,Std. Mean Difference,Random,95%,95%,Yes,0,,,242,0,,,192,-0.3304569,,-0.52955396,-0.13135983,100,17.39345279,0.4962286,0,0,3.25310478,0.00114151,0.0035668,0.95237653,0,18,,
2,1,1,Untrained ET,CON,IV,Std. Mean Difference,Random,,,,0,,,115,0,,,104,-0.35086154,,-0.68487152,-0.01685157,51.21255061,11.35591911,0.18233636,29.55215756,0.07668395,2.05884867,0.03950874,,,,8,,
2,1,1,Tsitkanou et al . 2017,,,,,,,,0,335.5,14.1,10,0,355.9,17.2,11,-1.2389022,0.48568901,-2.19083516,-0.28696924,4.37438488,,,,,,,,,,,2017,High risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk
2,1,1,Fyfe et al. 2016 *,,,,,,,,0,366,60,7,0,412,53,8,-0.76845806,0.54272801,-1.83218542,0.2952693,3.5032333,,,,,,,,,,,2016,Low risk,Low risk,Unclear risk,High risk,Low risk,Unclear risk
2,1,1,Mikkola et al. 2012,,,,,,,,0,209,24,11,0,228,29,16,-0.67958842,0.40425608,-1.47191577,0.11273893,6.31423035,,,,,,,,,,,2012,Unclear risk,Unclear risk,Unclear risk,Low risk,Low risk,Low risk
